Discretion,Zahlen,K I u,K I o,Titre
2020,1.64476981,1.568877179,1.720662441,À pied
2020,0.575483268,0.499222397,0.651744139,Vélo (incl. vélo électrique)
2020,21.2897954,20.1209112,22.4586796,Transport individuel motorisé
2020,7.451333898,6.636408558,8.266259238,Transports publics
2020,0.651544618,0.281182232,1.021907005,Autres
2021,1.741803794,1.661230373,1.822377215,À pied
2021,0.593518475,0.491259799,0.695777152,Vélo (incl. vélo électrique)
2021,15.58081301,14.59623429,16.56539173,Transport individuel motorisé
2021,3.603341906,3.044250717,4.162433094,Transports publics
2021,0.322473614,0.12125452,0.523692708,Autres
